ORIGINAL UNITS:,METRIC,MAP PROJECTION:,NAD 83
WELL INFORMATION
UWID:,100/05-08-013-18W4/00
NAME:,BOC775 RETLAW 5-8-13-18
KB ELEVATION(m):,     824.1
GROUND ELEVATION(m):,     819.6
BH COORD(m N):,     430.2,RELATIVE TO,SW 08-013-18W4
BH COORD(m E):,      96.3,RELATIVE TO,SW 08-013-18W4
BH COORD LAT(deg N):,  50.06638
BH COORD LONG(deg E):,-112.43718
SH LOC:,04-16-013-18W4
SH COORD(m N):,     107.3,RELATIVE TO,SW 16-013-18W4
SH COORD(m E):,      50.5,RELATIVE TO,SW 16-013-18W4
SH COORD LAT(deg N):,  50.07815
SH COORD LONG(deg E):,-112.41502
Grid Convergence(°):,-1.09
100/05-08-013-18W4/00,   1964.92,     90.80,    238.10,   1044.18,   -484.41,   -760.12
100/05-08-013-18W4/00,   1978.56,     90.70,    237.50,   1044.00,   -495.93,   -767.46
100/05-08-013-18W4/00,   1992.21,     90.00,    238.30,   1043.92,   -507.45,   -774.69
100/05-08-013-18W4/00,   2005.86,     89.80,    238.90,   1043.94,   -519.12,   -781.80
100/05-08-013-18W4/00,   2019.50,     89.80,    240.00,   1043.99,   -530.86,   -788.69
100/05-08-013-18W4/00,   2033.14,     89.90,    239.30,   1044.03,   -542.59,   -795.59
100/05-08-013-18W4/00,   2046.77,     90.20,    238.30,   1044.02,   -554.26,   -802.70
100/05-08-013-18W4/00,   2060.41,     90.30,    239.10,   1043.96,   -565.92,   -809.70
100/05-08-013-18W4/00,   2074.04,     90.00,    239.50,   1043.92,   -577.66,   -816.71
100/05-08-013-18W4/00,   2087.68,     90.30,    238.90,   1043.88,   -589.33,   -823.71
100/05-08-013-18W4/00,   2101.33,     90.20,    239.40,   1043.82,   -601.06,   -830.72
100/05-08-013-18W4/00,   2114.97,     89.70,    240.00,   1043.84,   -612.87,   -837.61
100/05-08-013-18W4/00,   2128.61,     89.90,    240.40,   1043.88,   -624.68,   -844.28
100/05-08-013-18W4/00,   2142.17,     90.30,    239.90,   1043.86,   -636.42,   -851.06
100/05-08-013-18W4/00,   2155.54,     90.80,    239.90,   1043.73,   -648.01,   -857.73
100/05-08-013-18W4/00,   2169.11,     90.70,    241.70,   1043.55,   -659.82,   -864.40
